"name","location","distance"
"DCC","POINT(-118.2812501 34.0216359)","0.01029328442091561"
"MRF","POINT(-118.2831756 34.0223964)","0.01151181362644965"
"TRO","POINT(-118.2823119 34.0192079)","0.01266794225791702"
"DOHENY","POINT(-118.2841337 34.0203498)","0.013389700308070003"
